2,0,1,1
2,20,,
4,0,6,1
4,20,6,6
7,0,40,1
7,217,,
7,83,252,4
12,149,252,24
12,207,252,25
12,290,252,26
14,0,90,1
15,0,101,1
15,20,101,6
15,32,101,9
15,235,101,101
15,236,101,102
16,0,121,1
16,1,121,13
17,0,102,1
17,19,102,10
17,32,102,9
17,20,102,6
17,22,102,11
17,235,102,101
17,236,102,102
187,0,103,1
187,20,103,6
187,32,103,9
187,4426,103,25
187,4427,103,26
197,0,104,1
197,20,104,6
197,32,104,9
197,100,104,63
212,52,2,1
212,53,3,1
12,106,14,1
200,17,15,1
780,11,21,1
200,14,22,1
780,177,23,1
780,178,24,1
140,0,105,1
41,0,106,1
213,0,122,1
213,1,122,13
188,0,123,1
188,1,123,13
138,0,124,1
152,0,125,1
62,2,252,28
62,10,200,4
62,21,,
63,0,,
63,63,,
212,52,2,1
212,53,3,1
212,122,,
245,0,91,1
247,0,44,1
800,9,50,52
780,47,67,1
1008,0,66,1
3,0,5,1
4323,259,5,1
4601,0,27,1
4602,0,28,1
800,11,26,1
108,1,87,1
800,12,88,1
4812,0,89,1
63,0,161,6
62,4,169,4
62,6,,
12,112,177,4
212,26,,
212,31,,
212,129,177,41
212,24,177,46
212,145,177,45
212,144,177,44
213,144,177,24
4323,283,177,26
212,145,177,36
14,88,177,51
212,24,177,63
212,129,177,66
62,1,183,4
